Governo do Estado do Rio de Janeiro
Secretaria de Estado de Fazenda
Subsecretaria de Politica Fiscal
Transparência Fiscal
Receitas entre 01/01/2017 e 01/08/2026
"Posição";"Poder";"Nome Poder";"Categoria Economica";"Nome Categoria Economica";"Receita por Fonte";"Nome Receita por Fonte";"Receita por Sub Fonte";"Nome Receita por SubFonte";"Rubrica";"Nome Rubrica";"Alinea";"Nome Alinea";"Sub Alinea";"Nome Sub Alinea";"Gestão";"Nome Gestão";"Órgão";"Nome Órgão";"UG";"Nome UG";"Fonte de Recursos";"Nome Fonte de Recursos";"Valor Previsão Inicial";"Valor Previsão Atualizada";"Valor Receita a Realizar";"Valor Receita Realizada"
"12/2017";"1";"Executivo";"7";"RECEITAS INTRA-ORÇAMENTÁRIAS CORRENTES";"79";"OUTRAS RECEITAS INTRA-ORÇAMENTÁRIAS CORRENTES";"792";"Rec Intra-Orçamentária - Indenizações e Restituições";"7922";"Receita Intra-Orçamentária - Restituições";"792299";"Receita Intra-Orçamentária de Outras Restituições";"79229900";"Receita Intra-Orçamentária de Outras Restitui";"00003";"AUTARQUIAS";"20";"Secretaria de Estado de Fazenda e Planejamento";"123400";"FUNDO UNICO DE PREVIDENCIA DO ESTADO DO RJ.";"231";"Recursos Próprios do Rioprevidência";12000000;12000000;-2162216260,2;2174216260,2
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"17";"TRANSFERÊNCIAS CORRENTES";"176";"Transferências de Convênios";"1761";"Transferências de Convênios da União e de Suas Entidades";"176102";"Transferências de Convênios da União destinados a Programas de Educação";"17610200";"Transferências de Convênios da União destinad";"00004";"FUNDACOES";"40";"Secretaria de Estado de Ciência,Tecnologia, Inovação e Desenvolvimento Social";"404600";"FUND. CENTRO DE CIENCIAS E EDUC.SUP.DIST. ERJ";"212";"Transferências Voluntárias";0;0;-6328613,48;6328613,48
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"13";"RECEITA PATRIMONIAL";"132";"Receitas de Valores Mobiliários";"1325";"Remuneração de Depósitos Bancários";"132502";"Remuneração de Depósitos de Recursos Não Vinculados";"13250201";"Receita de Remuneração de Depósitos de Poupan";"00007";"FUNDO ESPECIAL";"29";"Secretaria de Estado de Saúde";"426100";"FUNDO PARA INFANCIA E ADOLESCENCIA";"230";"Recursos Próprios";0;0;-277187,39;277187,39
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"11";"RECEITA TRIBUTÁRIA";"112";"Taxas";"1121";"Taxas pelo Exercício do Poder de Polícia";"112199";"Outras Taxas pelo Exercício do Poder de Polícia";"11219917";"Taxa de controle e Fiscalização do Trânsito -";"00003";"AUTARQUIAS";"21";"Secretaria de Estado da Casa Civil e Desenvolvimento Econômico";"263100";"DEPARTAMENTO DE TRANSITO DO RIO DE JANEIRO";"232";"Taxas pelo Exercício do Poder de Polícia e por Serviços Públicos";0;0;-24241499,41;33458116,07
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"12";"RECEITA DE CONTRIBUIÇÕES";"121";"Contribuições Sociais";"1210";"Contribuições Sociais";"121029";"Contribuições Previdenciárias do Regime Próprio";"12102912";"Contribuição de Pensionista Militar";"00003";"AUTARQUIAS";"20";"Secretaria de Estado de Fazenda e Planejamento";"123400";"FUNDO UNICO DE PREVIDENCIA DO ESTADO DO RJ.";"231";"Recursos Próprios do Rioprevidência";0;0;-140877372,82;140877372,82
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"13";"RECEITA PATRIMONIAL";"132";"Receitas de Valores Mobiliários";"1325";"Remuneração de Depósitos Bancários";"132503";"Fundos de Investimentos";"13250399";"Outros Fundos de Investimentos";"00003";"AUTARQUIAS";"29";"Secretaria de Estado de Saúde";"293100";"INSTITUTO DE ASSIST.DOS SERV. DO ESTADO DO RJ";"212";"Transferências Voluntárias";0;0;-809,97;809,97
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"13";"RECEITA PATRIMONIAL";"132";"Receitas de Valores Mobiliários";"1325";"Remuneração de Depósitos Bancários";"132503";"Fundos de Investimentos";"13250399";"Outros Fundos de Investimentos";"00001";"TESOURO";"99";"Tesouro do Estado do Rio de Janeiro";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"105";"Salário Educação";680748;0;0;0
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"17";"TRANSFERÊNCIAS CORRENTES";"176";"Transferências de Convênios";"1761";"Transferências de Convênios da União e de Suas Entidades";"176199";"Outras Transferências de  Convênios da União";"17619900";"Outras Transferências de  Convênios da União";"00006";"ECONOMIA MISTA";"29";"Secretaria de Estado de Saúde";"297100";"INSTITUTO VITAL BRAZIL SA";"212";"Transferências Voluntárias";10000000;10000000;10000000;0
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"13";"RECEITA PATRIMONIAL";"134";"Compensação Financeira";"1340";"Compensação Financeira";"134099";"Outras Compensações Financeiras";"13409902";"Cota-Parte da Compensação Financeira de Recur";"00001";"TESOURO";"99";"Tesouro do Estado do Rio de Janeiro";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"101";"Ordinários Não Provenientes de Impostos";3243000;2000000;-420205,28;2420205,28
"12/2017";"3";"Judiciário";"1";"RECEITAS CORRENTES";"11";"RECEITA TRIBUTÁRIA";"112";"Taxas";"1122";"Taxas pela Prestação de Serviços";"112229";"Emolumentos e Custas Extrajudiciais";"11222900";"Emolumentos e Custas Extrajudiciais";"00007";"FUNDO ESPECIAL";"03";"Tribunal de Justiça do Estado do Rio de Janeiro";"036100";"FUNDO ESPECIAL DO TRIBUNAL DE JUSTICA";"132";"Taxas pelo Exercício do Poder de Polícia e por Serviços Públicos";323744805;323744805;58008155,42;265736649,58
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"OUTRAS RECEITAS CORRENTES";"193";"Receita da Dívida Ativa";"1931";"Receita da Dívida Ativa Tributária";"193120";"Receita da Dívida Ativa do  ITD";"19312001";"Receita da Dívida Ativa do ITD - Insc. Após 1";"00001";"TESOURO";"99";"Tesouro do Estado do Rio de Janeiro";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"100";"Ordinários Provenientes de Impostos";464016;2400000;38665,18;2361334,82
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"OUTRAS RECEITAS CORRENTES";"192";"Indenizações e Restituições";"1921";"Indenizações";"192199";"Outras Indenizações";"19219900";"Outras Indenizações";"00001";"TESOURO";"99";"Tesouro do Estado do Rio de Janeiro";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"120";"Ressarcimento de Pessoal";0;0;-471832,76;471832,76
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"19";"OUTRAS RECEITAS CORRENTES";"191";"Multas e Juros de Mora";"1911";"Multas e Juros de Mora dos Tributos";"191199";"Multas e Juros de Mora de Outros Tributos";"19119902";"Juros e Multas de Mora - Outros Tributos";"00001";"TESOURO";"99";"Tesouro do Estado do Rio de Janeiro";"999900";"TESOURO DO ESTADO DO RIO DE JANEIRO";"132";"Taxas pelo Exercício do Poder de Polícia e por Serviços Públicos";49644;25000;741,66;24258,34
"12/2017";"1";"Executivo";"1";"RECEITAS CORRENTES";"16";"RECEITA DE SERVIÇOS";"160";"RECEITA DE SERVIÇOS";"1600";"RECEITA DE SERVIÇOS";"160014";"Serviços de Inspeção e Fiscalização";"16001400";"Serviços de Inspeção e Fiscalização";"00003";"AUTARQUIAS";"31";"Secretaria de Estado de Transportes";"313300";"DEPT. DE TRANSP. RODOV. DO EST. RJ";"230";"Recursos Próprios";33222360;33222360;2000832,63;31221527,37
