id_venda,id_cliente,id_vendedor,id_produto,quantidade,valor,data_venda
289,142,13,45,5,477.19,2024-10-16
290,208,3,24,2,93.94,2024-06-30
291,15,7,69,3,174.83,2024-12-01
292,231,1,71,4,1035.58,2024-05-05
293,30,2,29,4,1856.18,2024-09-08
294,27,5,1,4,1221.05,2024-04-27
295,144,14,16,5,264.36,2024-01-07
296,134,15,23,4,506.39,2024-09-17
297,192,13,54,3,814.92,2024-06-09
298,71,12,6,3,313.49,2024-10-18
299,240,2,9,3,263.4,2024-05-17
300,141,2,29,1,458.85,2024-12-09
301,154,2,27,5,1795.49,2024-10-07
302,92,8,8,4,926.15,2024-03-11
303,65,1,6,1,101.87,2024-11-29
304,25,8,23,2,212.51,2024-04-13
305,226,10,51,4,775.96,2024-11-27
306,104,8,77,4,805.77,2024-03-25
307,126,7,30,1,385.21,2024-04-04
308,118,3,4,4,1169.12,2024-12-22
309,137,10,70,4,878.05,2024-11-22
310,143,15,33,4,252.33,2024-04-06
311,245,1,67,3,919.97,2024-03-04
312,14,3,50,1,84.68,2024-09-05
313,152,13,53,3,867.93,2024-12-30
314,1,1,58,4,464.34,2024-06-07
315,171,9,64,4,473.78,2024-08-17
316,69,10,12,4,126.66,2024-07-16
317,40,15,46,1,82.05,2024-05-05
318,134,6,2,5,355.43,2024-05-19
319,47,10,57,1,141.89,2024-11-21
320,30,10,51,2,379.83,2024-01-26
321,95,12,11,2,152.05,2024-02-26
322,132,3,37,4,566.86,2024-02-10
323,81,14,68,5,409.96,2024-10-18
324,192,13,10,4,1192.45,2024-05-06
325,249,5,19,3,181.96,2024-06-06
326,66,12,40,5,606.72,2024-10-18
327,134,15,32,3,296.08,2024-08-18
328,58,5,19,4,231.21,2024-09-26
329,244,13,8,1,260.84,2024-09-13
330,33,7,62,2,141.55,2024-12-08
331,137,14,67,5,1640.42,2024-05-18
332,41,2,74,4,829.22,2024-12-19
333,136,3,62,3,228.18,2024-09-22
334,189,6,54,5,1323.28,2024-03-05
335,63,1,10,3,770.74,2024-06-04
336,238,7,69,2,120.82,2024-01-15
337,224,3,35,1,121.73,2024-08-24
338,222,6,69,4,267.5,2024-10-25
339,247,6,72,4,1922.64,2024-02-10
340,124,15,34,3,231.78,2024-04-06
341,179,5,47,2,178.58,2024-04-24
342,162,15,37,3,450.77,2024-04-07
343,105,14,35,1,112.98,2024-04-09
344,118,5,19,4,229.88,2024-02-25
345,78,1,53,5,1249.77,2024-12-20
346,206,11,70,1,184.69,2024-11-29
347,80,6,9,4,375.62,2024-01-26
348,168,3,65,4,632.13,2024-02-02
349,68,8,22,3,1082.78,2024-06-12
350,40,1,45,1,76.45,2024-10-13
351,109,10,36,4,186.51,2024-03-22
352,52,4,5,5,1490.25,2024-01-05
353,87,3,34,2,149.17,2024-01-06
354,6,4,9,4,317.55,2024-02-04
355,178,12,49,4,240.12,2024-01-06
356,220,8,75,5,473.75,2024-06-10
357,231,4,23,3,329.63,2024-04-17
358,21,1,23,2,221.77,2024-10-11
359,220,13,1,2,674.62,2024-03-08
360,33,1,53,1,263.34,2024-10-24
361,18,13,6,2,248.75,2024-03-08
362,14,5,8,4,927.13,2024-07-30
363,170,15,60,1,152.65,2024-08-31
364,163,11,42,3,499.1,2024-11-14
365,240,13,34,1,75.98,2024-11-23
366,59,9,53,2,518.71,2024-08-28
367,38,11,3,2,521.3,2024-11-02
368,206,1,44,4,262.83,2024-09-30
369,183,5,61,2,251.23,2024-09-05
370,161,4,67,1,326.07,2024-02-21
371,9,3,60,5,704.92,2024-12-22
372,142,6,69,1,70.18,2024-02-07
373,219,8,75,3,286.6,2024-11-18
374,80,15,42,3,560.31,2024-06-11
375,227,12,15,4,143.49,2024-03-30
376,243,3,42,2,375.17,2024-08-20
377,99,3,20,2,140.18,2024-03-31
378,174,7,9,5,413.29,2024-07-14
379,246,14,37,1,128.17,2024-04-10
380,250,4,10,4,1059.35,2024-01-10
381,129,5,64,5,610.45,2024-06-18
382,70,1,6,1,110.26,2024-11-10
383,97,11,45,1,80.0,2024-06-09
384,202,4,64,3,367.16,2024-04-03
385,110,7,27,2,664.36,2024-11-02
386,82,12,19,2,117.84,2024-09-11
387,82,8,21,3,433.3,2024-01-09
388,21,7,45,5,379.08,2024-11-05
389,99,3,36,2,91.81,2024-02-29
390,174,2,25,5,2135.35,2024-12-06
391,149,12,49,2,121.25,2024-03-19
392,105,11,69,3,182.98,2024-04-02
393,111,1,43,3,142.26,2024-01-14
394,172,11,4,2,471.65,2024-02-24
395,168,4,2,1,59.0,2024-09-30
396,218,14,36,1,40.81,2024-02-12
397,25,3,23,1,123.0,2024-05-31
398,170,9,15,3,112.51,2024-08-10
399,107,9,48,3,995.45,2024-02-23
400,241,13,58,5,644.75,2024-06-07
401,193,5,78,1,34.42,2024-07-17
402,159,3,64,4,563.78,2024-09-02
403,213,4,43,4,189.94,2024-05-24
404,103,14,16,5,267.36,2024-03-07
405,76,4,15,5,180.09,2024-08-11
406,53,13,1,3,1055.35,2024-01-24
407,42,5,69,2,123.57,2024-02-27
408,188,5,61,5,617.58,2024-12-24
409,29,14,60,2,265.32,2024-07-27
410,196,10,68,1,92.48,2024-09-20
411,51,12,62,1,64.49,2024-08-09
412,105,7,6,1,101.77,2024-06-27
413,111,15,37,5,715.54,2024-02-19
414,83,1,42,2,327.91,2024-09-28
415,34,15,71,2,598.93,2024-11-11
416,166,3,8,1,257.16,2024-09-30
417,111,12,56,4,415.17,2024-04-26
418,228,3,68,5,473.41,2024-12-10
419,53,13,54,4,1143.06,2024-02-12
420,87,9,70,4,749.93,2024-08-20
421,250,2,24,1,48.07,2024-04-07
422,36,3,38,5,220.56,2024-12-10
423,218,9,8,3,700.97,2024-08-24
424,154,12,9,5,397.28,2024-12-28
425,18,13,54,4,1086.51,2024-11-29
426,109,1,48,5,1543.1,2024-11-21
427,134,15,42,2,396.4,2024-11-14
428,132,3,15,4,179.04,2024-12-21
429,174,2,80,2,283.62,2024-06-02
430,111,6,3,2,633.4,2024-07-11
431,168,6,6,5,634.61,2024-10-21
432,25,14,60,2,252.03,2024-09-16
433,47,10,38,5,223.31,2024-08-10
434,163,11,53,3,785.48,2024-10-23
435,156,14,42,4,647.26,2024-11-12
436,109,7,10,1,261.96,2024-10-20
437,8,10,73,5,511.97,2024-12-17
438,128,11,45,5,409.42,2024-05-25
439,71,7,57,2,264.55,2024-09-15
440,78,14,60,2,251.54,2024-08-22
441,242,9,27,4,1301.44,2024-10-01
442,187,13,67,5,1735.28,2024-05-28
443,111,6,66,4,303.56,2024-06-16
444,9,3,35,4,478.64,2024-07-23
445,142,5,8,1,232.36,2024-04-01
446,137,5,46,5,359.78,2024-04-23
447,143,1,74,5,907.03,2024-12-06
448,216,13,58,5,656.79,2024-10-31
449,122,12,14,5,623.5,2024-05-01
450,39,1,58,3,366.54,2024-01-25
451,55,1,45,4,324.66,2024-07-25
452,145,2,3,3,920.84,2024-02-19
453,67,9,25,4,1585.48,2024-12-06
454,230,14,56,4,400.68,2024-09-14
455,18,13,68,4,352.09,2024-11-25
456,68,13,27,4,1443.9,2024-12-18
457,109,2,39,3,983.14,2024-10-31
458,101,1,43,4,188.46,2024-07-24
459,235,14,44,1,65.6,2024-03-05
460,145,2,56,4,440.99,2024-08-05
461,100,13,1,3,1008.31,2024-11-21
462,169,11,1,3,900.47,2024-09-02
463,143,15,42,3,584.58,2024-11-03
464,84,7,8,5,1092.73,2024-01-04
465,213,8,25,3,1115.83,2024-06-27
466,27,4,69,1,57.03,2024-05-07
467,33,7,12,1,27.84,2024-08-29
468,237,4,19,4,236.67,2024-08-05
469,243,13,80,3,426.05,2024-12-30
470,83,11,6,2,214.66,2024-06-05
471,99,3,46,1,85.35,2024-09-14
472,48,6,2,3,216.95,2024-09-27
473,164,14,44,5,318.53,2024-08-17
474,79,8,28,3,119.81,2024-07-01
475,209,13,38,1,47.22,2024-08-24
476,113,2,74,4,835.28,2024-05-28
477,231,14,5,3,845.34,2024-09-18
478,8,9,4,5,1180.71,2024-02-12
479,202,14,37,2,259.69,2024-09-23
480,111,15,32,5,503.5,2024-09-30
481,48,15,36,4,182.72,2024-04-10
482,74,1,56,2,195.3,2024-02-02
483,202,6,53,3,898.53,2024-04-18
484,134,15,68,1,87.47,2024-10-16
485,28,14,65,2,259.05,2024-07-14
486,23,8,57,4,535.82,2024-10-30
487,53,13,29,2,939.93,2024-03-10
488,67,10,56,3,359.39,2024-06-23
489,157,1,67,1,322.74,2024-02-27
490,137,1,43,4,182.26,2024-01-09
491,232,9,43,2,89.89,2024-02-13
492,153,9,57,3,400.75,2024-03-28
493,76,11,57,5,628.95,2024-12-09
494,193,10,36,5,236.76,2024-07-08
495,199,14,43,5,230.65,2024-09-23
496,190,3,32,2,194.72,2024-08-13
497,150,12,62,5,342.81,2024-12-05
498,162,14,18,3,188.34,2024-04-06
499,156,11,58,1,116.87,2024-06-17
500,158,13,34,3,237.73,2024-05-16
501,109,13,6,5,642.26,2024-09-24
502,72,2,27,5,1828.72,2024-08-10
503,138,14,33,5,271.96,2024-09-08
504,138,14,46,5,356.3,2024-01-12
505,204,12,74,2,386.9,2024-08-15
506,148,8,39,2,595.31,2024-08-05
507,124,15,50,1,83.48,2024-12-02
508,34,6,60,1,151.72,2024-12-08
509,168,6,4,1,281.56,2024-10-26
510,246,2,75,3,311.51,2024-06-10
511,189,6,2,5,341.16,2024-09-30
512,232,13,6,3,360.86,2024-03-10
513,55,5,27,4,1217.07,2024-06-24
514,247,15,51,2,402.8,2024-02-10
515,177,4,69,4,241.68,2024-04-17
516,40,6,43,5,264.53,2024-08-08
517,112,2,28,1,45.98,2024-07-16
518,97,14,65,5,640.58,2024-06-26
519,26,13,8,4,1080.9,2024-11-10
520,169,1,57,2,256.05,2024-04-03
521,8,8,70,5,961.13,2024-11-28
522,105,7,8,3,652.39,2024-02-12
523,207,7,3,4,1034.08,2024-02-23
524,119,10,42,2,379.59,2024-11-21
525,137,15,50,1,78.61,2024-12-08
526,140,9,54,2,454.36,2024-03-14
527,108,8,25,5,1961.72,2024-05-14
528,67,11,59,1,38.1,2024-10-23
529,152,4,7,1,248.51,2024-10-21
530,220,13,69,1,69.49,2024-03-29
531,138,9,36,5,197.93,2024-05-18
532,82,14,45,1,81.92,2024-05-01
533,213,14,69,4,231.3,2024-09-08
534,63,2,72,5,2400.77,2024-03-02
535,187,13,35,1,121.72,2024-04-16
536,176,10,65,4,590.53,2024-08-28
537,167,8,66,2,130.15,2024-04-19
538,73,7,58,1,121.17,2024-02-18
539,184,4,1,5,1562.96,2024-06-27
540,132,4,54,1,231.43,2024-03-06
541,35,7,6,1,110.94,2024-02-04
542,217,11,8,1,227.22,2024-11-30
543,80,6,9,1,87.19,2024-12-28
544,127,12,35,1,109.79,2024-03-22
545,96,5,31,5,494.43,2024-01-31
546,196,10,35,2,257.17,2024-10-05
547,8,8,80,4,474.1,2024-07-18
548,222,5,53,2,488.19,2024-07-10
549,216,2,25,2,851.69,2024-05-15
550,228,14,28,2,78.14,2024-02-25
551,213,9,5,2,567.85,2024-09-26
552,26,7,28,1,39.29,2024-03-17
553,103,9,71,2,477.4,2024-03-18
554,181,13,31,4,466.09,2024-07-31
555,35,12,41,2,139.09,2024-10-05
556,71,10,46,1,82.37,2024-09-10
557,35,4,67,1,301.73,2024-08-24
558,158,4,7,1,250.46,2024-03-28
559,39,3,51,5,922.51,2024-09-17
560,227,8,70,4,747.26,2024-03-02
561,206,1,41,3,215.67,2024-02-27
562,29,8,80,1,122.49,2024-01-04
563,66,8,72,1,418.46,2024-03-15
564,58,14,38,2,76.97,2024-03-14
565,10,2,26,2,858.47,2024-05-18
566,18,13,10,4,1208.93,2024-08-30
567,34,15,36,4,184.51,2024-06-29
568,80,6,3,4,1254.52,2024-06-02
569,143,12,78,2,70.48,2024-06-25
570,178,14,73,3,257.85,2024-01-19
571,166,3,41,5,406.82,2024-02-16
572,139,3,37,5,744.92,2024-07-30
573,123,5,61,4,463.02,2024-08-25
574,16,7,65,5,646.09,2024-08-21
575,7,5,18,4,258.43,2024-10-12
576,29,2,75,3,327.2,2024-10-17
577,70,3,51,5,989.77,2024-09-27
578,229,15,26,4,1666.9,2024-11-16
579,202,3,38,3,137.66,2024-09-18
580,70,7,2,5,291.52,2024-04-24
581,106,10,55,2,145.1,2024-01-05
582,36,3,65,2,315.36,2024-07-02
583,124,15,1,1,328.67,2024-10-07
584,97,9,10,4,1016.09,2024-10-30
585,10,2,23,1,121.5,2024-07-26
586,58,13,71,2,592.92,2024-03-12
587,127,11,53,5,1282.24,2024-10-22
588,118,12,80,1,121.44,2024-10-04
589,158,13,3,5,1540.61,2024-05-12
590,63,7,1,5,1548.37,2024-10-28
591,71,9,32,4,337.77,2024-02-19
592,214,12,56,1,103.75,2024-09-24
593,48,15,72,3,1403.89,2024-06-17
594,37,9,40,2,264.17,2024-04-06
595,67,11,2,1,59.54,2024-06-14
596,201,13,53,3,858.81,2024-10-21
597,69,10,42,4,766.67,2024-03-16
598,14,12,62,2,131.82,2024-11-25
599,5,12,70,1,197.4,2024-03-18
600,134,15,44,1,73.69,2024-07-19
601,99,3,33,4,250.62,2024-06-15
602,134,15,46,2,170.79,2024-03-22
603,202,15,44,1,73.77,2024-02-18
604,76,13,43,1,54.13,2024-12-17
605,241,7,6,3,314.37,2024-01-10
606,171,5,51,1,174.6,2024-02-01
607,155,8,22,3,1107.17,2024-01-13
608,22,1,8,5,1083.52,2024-02-14
609,23,1,23,2,227.16,2024-03-06
610,200,10,50,1,79.33,2024-12-01
611,162,15,55,4,308.36,2024-04-24
612,198,14,34,3,198.12,2024-01-24
613,111,15,57,4,619.39,2024-11-20
614,99,5,4,1,245.97,2024-06-19
615,2,4,71,2,522.76,2024-06-07
616,217,8,28,3,118.86,2024-08-03
617,174,2,26,3,1268.59,2024-12-13
618,172,3,51,4,811.15,2024-09-17
619,217,7,48,3,999.11,2024-07-23
620,71,3,80,4,586.61,2024-07-28
621,140,14,42,5,821.72,2024-08-27
622,21,14,75,1,95.02,2024-07-04
623,10,1,4,5,1191.1,2024-10-16
624,78,8,17,2,136.23,2024-05-19
625,43,13,52,4,1370.45,2024-02-26
626,190,3,42,5,987.9,2024-07-01
627,166,3,3,4,1261.63,2024-05-21
628,58,13,13,5,201.68,2024-04-10
629,141,9,5,4,1129.18,2024-12-08
630,60,7,43,5,240.97,2024-09-13
631,222,14,36,1,39.66,2024-05-21
632,138,10,51,4,754.9,2024-01-10
633,210,6,2,2,133.17,2024-07-08
634,51,5,36,1,40.74,2024-04-05
635,221,4,48,1,313.21,2024-09-27
636,2,7,31,4,376.01,2024-12-31
637,165,12,50,1,75.16,2024-04-13
638,218,3,60,5,763.0,2024-11-14
639,13,10,42,1,201.44,2024-04-17
640,236,5,15,2,71.78,2024-12-19
641,192,8,74,5,928.09,2024-02-23
642,168,15,20,3,222.75,2024-11-11
643,185,13,4,5,1417.93,2024-11-21
644,211,8,63,1,216.31,2024-02-09
645,246,4,8,3,676.19,2024-12-27
646,56,2,74,5,1102.8,2024-08-29
647,154,3,30,4,1653.95,2024-07-31
648,250,2,15,5,214.18,2024-03-20
649,174,3,51,3,579.02,2024-03-02
650,51,9,8,1,223.54,2024-08-02
651,222,9,1,2,618.29,2024-10-07
652,173,1,71,3,770.68,2024-08-26
653,249,14,31,2,197.93,2024-12-08
654,76,14,35,2,226.37,2024-04-05
655,32,3,32,4,407.97,2024-07-14
656,91,9,34,4,271.77,2024-01-11
657,206,7,45,1,78.61,2024-12-19
658,153,2,19,1,66.87,2024-02-29
659,105,14,19,4,226.68,2024-09-02
